DBCODE,ENTITY,SITECODE,SITE,LOG_SPECIES,SUBTYPE,EQN_FORM,N_OBS,DECAY_RATE,DECAY_RATE_SE,INTERCEPT,INTERCEPT_SE,INTERCEPT_FORCED,DECAY_RATE_PV,INTERCEPT_PV,LAG,LAG_SE,LAG_PV,R_SQUARED,OVERALL_PV,DECAY_LAG_CORR,DECAY_INTERCEPT_CORR,P1T0,P1T0_SE,DECAY_RATE_K1,DECAY_RATE_K1_SE,DECAY_RATE_K2,DECAY_RATE_K2_SE,K1_K2_CORR,K1_P1T0_CORR
TD014,21,"TD014_HJA3",3,PSME,X,"SINGLE",14,0.021,0.002,1.02,0.03,N,0.0000,0.4309,,,,0.8664,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,H,"LAG",14,0.001,0.003,1.00,,Y,0.7697,,0.71,0.56,0.2289,0.0921,H,0.9893,,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,H,"SINGLE",14,0.002,0.002,0.98,0.02,Y,0.1670,0.4433,,,,0.1528,N,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,I,"DUAL",14,,,1.00,,Y,,,,,,0.8321,H,,,0.36,0.86,0.213,0.431,0.041,0.060,0.9064,-0.9684
TD014,21,"TD014_HJA3",3,THPL,I,"LAG",14,0.059,0.024,1.00,,Y,0.0336,,0.80,0.27,0.0121,0.7812,H,0.9355,,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,I,"SINGLE",14,0.066,0.009,0.93,0.11,Y,0.0000,0.5061,,,,0.8229,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,O,"LAG",14,0.037,0.018,1.00,,Y,0.0709,,1.44,0.63,0.0423,0.6471,H,0.9521,,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,O,"SINGLE",14,0.031,0.006,1.06,0.07,Y,0.0002,0.4249,,,,0.6997,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,S,"LAG",14,0.066,0.026,1.00,,Y,0.0254,,1.20,0.45,0.0205,0.7836,H,0.9383,,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,S,"SINGLE",14,0.067,0.008,1.08,0.10,Y,0.0000,0.4587,,,,0.8475,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,X,"LAG",14,0.006,0.004,1.00,,Y,0.1871,,0.73,0.19,0.0030,0.6674,N,0.9766,,,,,,,,,
TD014,21,"TD014_HJA3",3,THPL,X,"SINGLE",14,0.010,0.002,0.97,0.02,N,0.0001,0.2075,,,,0.7021,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,H,"LAG",14,0.066,0.015,1.00,,Y,0.0012,,3.30,1.11,0.0129,0.8791,H,0.9592,,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,H,"SINGLE",14,0.030,0.004,1.11,0.05,Y,0.0000,0.0585,,,,0.8035,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,I,"LAG",14,0.107,0.035,1.00,,Y,0.0117,,1.20,0.43,0.0166,0.8522,H,0.9377,,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,I,"SINGLE",14,0.115,0.007,1.13,0.08,Y,0.0000,0.1609,,,,0.9603,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,O,"LAG",14,0.060,0.040,1.00,,Y,0.1613,,4.48,4.75,0.3662,0.4348,H,0.9737,,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,O,"SINGLE",14,0.017,0.005,1.05,0.06,Y,0.0070,0.4379,,,,0.4675,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,S,"LAG",14,0.048,0.012,1.00,,Y,0.0016,,1.41,0.32,0.0010,0.8923,H,0.9448,,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,S,"SINGLE",14,0.037,0.004,1.05,0.04,Y,0.0000,0.2938,,,,0.8913,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,X,"LAG",14,0.048,0.010,1.00,,Y,0.0005,,1.68,0.35,0.0005,0.9134,H,0.9483,,,,,,,,,
TD014,21,"TD014_HJA3",3,TSHE,X,"SINGLE",14,0.034,0.003,1.08,0.04,N,0.0000,0.1029,,,,0.8819,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,H,"LAG",14,0.080,0.016,1.00,,Y,0.0005,,1.82,0.44,0.0016,0.9206,H,0.9420,,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,H,"SINGLE",14,0.052,0.004,1.08,0.05,Y,0.0000,0.1719,,,,0.9173,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,O,"LAG",14,0.050,0.021,1.00,,Y,0.0327,,1.13,0.40,0.0168,0.7466,H,0.9409,,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,O,"SINGLE",14,0.099,0.018,1.38,0.22,Y,0.0001,0.1647,,,,0.7131,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,S,"LAG",14,0.086,0.020,1.00,,Y,0.0011,,1.39,0.34,0.0018,0.9200,H,0.9391,,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,S,"SINGLE",13,0.060,0.006,1.02,0.05,Y,0.0000,0.7730,,,,0.9083,H,,-0.7846,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,X,"LAG",14,0.078,0.011,1.00,,Y,0.0000,,1.56,0.25,0.0001,0.9613,H,0.9403,,,,,,,,,
TD014,21,"TD014_HJA4",4,ABAM,X,"SINGLE",14,0.067,0.004,1.13,0.05,N,0.0000,0.0212,,,,0.9573,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,H,"LAG",13,0.004,0.007,1.00,,Y,0.5433,,0.73,0.40,0.0998,0.3160,H,0.9809,,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,H,"SINGLE",13,0.008,0.003,0.98,0.04,Y,0.0209,0.5205,,,,0.3974,S,,-0.7513,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,I,"DUAL",13,,,1.00,,Y,,,,,,0.7478,H,,,0.12,0.33,0.629,2.992,0.067,0.035,0.6875,-0.8274
TD014,21,"TD014_HJA4",4,PSME,I,"LAG",13,0.061,0.033,1.00,,Y,0.0885,,0.77,0.34,0.0468,0.6831,H,0.9374,,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,I,"SINGLE",13,0.069,0.008,0.90,0.10,Y,0.0000,0.2905,,,,0.8706,H,,-0.7513,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,O,"LAG",13,0.030,0.012,1.00,,Y,0.0281,,1.82,0.63,0.0163,0.7774,H,0.9657,,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,O,"SINGLE",13,0.018,0.003,1.06,0.04,Y,0.0001,0.1751,,,,0.7611,H,,-0.7513,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,S,"LAG",13,0.046,0.006,1.00,,Y,0.0000,,1.14,0.12,0.0000,0.9717,H,0.9458,,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,S,"SINGLE",13,0.045,0.003,1.04,0.03,Y,0.0000,0.2248,,,,0.9610,H,,-0.7513,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,X,"LAG",13,0.015,0.006,1.00,,Y,0.0303,,0.86,0.19,0.0009,0.8264,S,0.9657,,,,,,,,,
TD014,21,"TD014_HJA4",4,PSME,X,"SINGLE",13,0.018,0.002,0.98,0.03,N,0.0000,0.5610,,,,0.8433,H,,-0.7514,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,H,"LAG",14,0.001,0.005,1.00,,Y,0.8488,,0.90,1.10,0.4291,-0.0955,H,0.9914,,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,H,"SINGLE",14,0.000,0.001,0.99,0.01,Y,0.8350,0.3461,,,,0.0038,N,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,I,"LAG",14,0.169,0.065,1.00,,Y,0.0255,,1.91,1.02,0.0878,0.8100,H,0.9465,,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,I,"SINGLE",14,0.105,0.013,1.07,0.16,Y,0.0000,0.6654,,,,0.8408,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,O,"LAG",14,0.081,0.014,1.00,,Y,0.0001,,4.70,1.45,0.0080,0.9330,H,0.9634,,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,O,"SINGLE",14,0.031,0.004,1.16,0.04,Y,0.0000,0.0048,,,,0.8676,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,S,"LAG",14,0.064,0.015,1.00,,Y,0.0011,,1.31,0.29,0.0010,0.9076,H,0.9395,,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,S,"SINGLE",14,0.079,0.010,1.22,0.12,Y,0.0000,0.1220,,,,0.8391,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,X,"LAG",14,0.011,0.003,1.00,,Y,0.0033,,1.02,0.14,0.0000,0.9135,H,0.9715,,,,,,,,,
TD014,21,"TD014_HJA4",4,THPL,X,"SINGLE",14,0.011,0.001,1.00,0.01,N,0.0000,0.9406,,,,0.9261,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,H,"LAG",14,0.048,0.011,1.00,,Y,0.0014,,1.55,0.36,0.0012,0.8936,H,0.9466,,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,H,"SINGLE",14,0.036,0.004,1.07,0.04,Y,0.0000,0.1287,,,,0.8955,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,I,"DUAL",14,,,1.00,,Y,,,,,,0.7644,H,,,0.74,2.04,0.118,0.250,0.015,0.239,0.9617,-0.9865
TD014,21,"TD014_HJA4",4,TSHE,I,"LAG",14,0.078,0.039,1.00,,Y,0.0708,,1.00,0.47,0.0552,0.7211,H,0.9357,,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,I,"SINGLE",14,0.063,0.008,0.93,0.10,Y,0.0000,0.4535,,,,0.8333,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,O,"LAG",14,0.054,0.018,1.00,,Y,0.0125,,3.04,1.36,0.0468,0.7945,H,0.9639,,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,O,"SINGLE",14,0.023,0.003,1.10,0.04,Y,0.0000,0.0319,,,,0.7910,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,S,"DUAL",14,,,1.00,,Y,,,,,,0.9195,H,,,0.47,3.03,0.079,0.272,0.020,0.124,0.9871,-0.9959
TD014,21,"TD014_HJA4",4,TSHE,S,"LAG",14,0.038,0.009,1.00,,Y,0.0021,,0.92,0.17,0.0002,0.9005,H,0.9439,,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,S,"SINGLE",14,0.039,0.003,0.98,0.04,Y,0.0000,0.5834,,,,0.9266,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,X,"LAG",14,0.043,0.007,1.00,,Y,0.0001,,1.21,0.18,0.0000,0.9435,H,0.9449,,,,,,,,,
TD014,21,"TD014_HJA4",4,TSHE,X,"SINGLE",14,0.038,0.002,1.04,0.03,N,0.0000,0.2124,,,,0.9468,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,H,"LAG",14,0.087,0.013,1.00,,Y,0.0000,,3.52,0.84,0.0015,0.9487,H,0.9536,,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,H,"SINGLE",14,0.044,0.005,1.16,0.05,Y,0.0000,0.0175,,,,0.8854,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,O,"DUAL",14,,,1.00,,Y,,,,,,0.3514,H,,,0.85,104.81,0.053,1.678,0.029,7.344,0.9980,-0.9995
TD014,21,"TD014_HJA5",5,ABAM,O,"LAG",14,0.014,0.011,1.00,,Y,0.2247,,0.58,0.21,0.0197,0.5798,H,0.9599,,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,O,"SINGLE",14,0.029,0.006,0.93,0.07,Y,0.0004,0.3659,,,,0.6627,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,S,"LAG",14,0.051,0.011,1.00,,Y,0.0009,,1.09,0.21,0.0003,0.9152,H,0.9403,,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,S,"SINGLE",14,0.051,0.004,1.04,0.05,Y,0.0000,0.4440,,,,0.9367,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,X,"LAG",14,0.049,0.011,1.00,,Y,0.0011,,1.32,0.28,0.0006,0.9002,H,0.9435,,,,,,,,,
TD014,21,"TD014_HJA5",5,ABAM,X,"SINGLE",14,0.045,0.004,1.07,0.05,N,0.0000,0.1728,,,,0.9018,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,H,"LAG",14,0.011,0.005,1.00,,Y,0.0680,,1.25,0.32,0.0027,0.7343,H,0.9770,,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,H,"SINGLE",14,0.007,0.001,1.00,0.01,Y,0.0000,0.8650,,,,0.7638,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,I,"DUAL",14,,,1.00,,Y,,,,,,0.8964,H,,,0.45,0.74,0.203,0.260,0.043,0.058,0.9169,-0.9726
TD014,21,"TD014_HJA5",5,PSME,I,"LAG",14,0.059,0.018,1.00,,Y,0.0065,,0.69,0.16,0.0012,0.8598,H,0.9343,,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,I,"SINGLE",14,0.062,0.007,0.84,0.08,Y,0.0000,0.0429,,,,0.8831,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,O,"LAG",14,0.019,0.025,1.00,,Y,0.4564,,1.37,1.20,0.2772,0.2480,H,0.9682,,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,O,"SINGLE",14,0.015,0.006,1.02,0.07,Y,0.0308,0.7990,,,,0.3328,S,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,S,"LAG",14,0.038,0.013,1.00,,Y,0.0148,,1.10,0.30,0.0038,0.8141,H,0.9461,,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,S,"SINGLE",14,0.043,0.006,1.06,0.07,Y,0.0000,0.4060,,,,0.8099,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,X,"LAG",14,0.015,0.005,1.00,,Y,0.0167,,0.95,0.18,0.0003,0.8402,S,0.9654,,,,,,,,,
TD014,21,"TD014_HJA5",5,PSME,X,"SINGLE",14,0.016,0.002,1.00,0.02,N,0.0000,0.8670,,,,0.8473,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,H,"LAG",14,0.010,0.009,1.00,,Y,0.3058,,1.81,0.94,0.0806,0.5685,H,0.9870,,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,H,"SINGLE",14,0.003,0.001,1.02,0.01,Y,0.0007,0.0604,,,,0.6337,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,I,"LAG",14,0.073,0.035,1.00,,Y,0.0592,,0.97,0.42,0.0410,0.7166,H,0.9357,,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,I,"SINGLE",14,0.120,0.017,1.27,0.20,Y,0.0000,0.2549,,,,0.8101,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,O,"LAG",14,0.069,0.030,1.00,,Y,0.0433,,4.62,3.43,0.2047,0.6891,H,0.9685,,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,O,"SINGLE",14,0.023,0.005,1.12,0.05,Y,0.0002,0.0548,,,,0.6876,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,S,"LAG",14,0.085,0.015,1.00,,Y,0.0001,,2.42,0.56,0.0011,0.9455,H,0.9457,,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,S,"SINGLE",14,0.072,0.009,1.30,0.10,Y,0.0000,0.0245,,,,0.8554,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,X,"LAG",14,0.028,0.006,1.00,,Y,0.0005,,1.93,0.35,0.0002,0.9258,H,0.9698,,,,,,,,,
TD014,21,"TD014_HJA5",5,THPL,X,"SINGLE",14,0.013,0.001,1.05,0.02,N,0.0000,0.0115,,,,0.8997,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,H,"LAG",14,0.065,0.015,1.00,,Y,0.0010,,2.35,0.66,0.0046,0.8881,H,0.9490,,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,H,"SINGLE",14,0.036,0.004,1.10,0.05,Y,0.0000,0.0654,,,,0.8828,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,I,"LAG",14,0.066,0.024,1.00,,Y,0.0185,,1.32,0.47,0.0174,0.8062,H,0.9393,,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,I,"SINGLE",14,0.056,0.005,1.05,0.06,Y,0.0000,0.3804,,,,0.9165,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,O,"LAG",14,0.065,0.035,1.00,,Y,0.0953,,3.48,2.84,0.2451,0.5931,H,0.9617,,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,O,"SINGLE",14,0.026,0.006,1.14,0.08,Y,0.0014,0.1112,,,,0.5874,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,S,"LAG",14,0.050,0.008,1.00,,Y,0.0001,,1.32,0.21,0.0001,0.9457,H,0.9430,,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,S,"SINGLE",14,0.041,0.002,1.05,0.03,Y,0.0000,0.1273,,,,0.9607,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,X,"LAG",14,0.054,0.009,1.00,,Y,0.0001,,1.66,0.27,0.0001,0.9472,H,0.9453,,,,,,,,,
TD014,21,"TD014_HJA5",5,TSHE,X,"SINGLE",14,0.038,0.003,1.07,0.03,N,0.0000,0.0395,,,,0.9437,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,H,"LAG",14,0.045,0.014,1.00,,Y,0.0069,,1.73,0.52,0.0067,0.8280,H,0.9512,,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,H,"SINGLE",14,0.032,0.004,1.08,0.05,Y,0.0000,0.1510,,,,0.8247,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,O,"DUAL",14,,,1.00,,Y,,,,,,0.7720,H,,,0.49,153.78,0.059,3.170,0.040,2.518,0.9987,-0.9997
TD014,21,"TD014_HJA6",6,ABAM,O,"LAG",14,0.021,0.008,1.00,,Y,0.0197,,0.58,0.11,0.0004,0.8279,H,0.9516,,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,O,"SINGLE",14,0.038,0.004,0.92,0.05,Y,0.0000,0.0813,,,,0.8926,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,S,"DUAL",14,,,1.00,,Y,,,,,,0.9522,H,,,0.12,0.88,0.154,0.718,0.043,0.034,0.9536,-0.9857
TD014,21,"TD014_HJA6",6,ABAM,S,"LAG",14,0.046,0.008,1.00,,Y,0.0002,,0.93,0.13,0.0000,0.9422,H,0.9402,,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,S,"SINGLE",14,0.049,0.004,0.99,0.04,Y,0.0000,0.8397,,,,0.9408,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,X,"LAG",14,0.038,0.007,1.00,,Y,0.0003,,1.06,0.16,0.0000,0.9318,H,0.9452,,,,,,,,,
TD014,21,"TD014_HJA6",6,ABAM,X,"SINGLE",14,0.041,0.003,1.03,0.04,N,0.0000,0.4477,,,,0.9180,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,H,"LAG",14,0.031,0.017,1.00,,Y,0.0954,,2.83,1.62,0.1085,0.6112,H,0.9799,,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,H,"SINGLE",14,0.008,0.002,1.03,0.02,Y,0.0013,0.2662,,,,0.5898,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,I,"LAG",14,0.066,0.013,1.00,,Y,0.0003,,1.03,0.18,0.0001,0.9366,H,0.9368,,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,I,"SINGLE",14,0.060,0.004,0.98,0.05,Y,0.0000,0.6445,,,,0.9470,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,O,"LAG",14,0.028,0.011,1.00,,Y,0.0249,,1.26,0.37,0.0056,0.7637,H,0.9560,,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,O,"SINGLE",14,0.023,0.004,1.02,0.05,Y,0.0001,0.7347,,,,0.7262,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,S,"LAG",14,0.043,0.013,1.00,,Y,0.0087,,1.58,0.47,0.0063,0.8184,H,0.9502,,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,S,"SINGLE",14,0.032,0.004,1.07,0.05,Y,0.0000,0.2029,,,,0.8447,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,X,"LAG",14,0.025,0.009,1.00,,Y,0.0145,,1.47,0.39,0.0029,0.8065,S,0.9641,,,,,,,,,
TD014,21,"TD014_HJA6",6,PSME,X,"SINGLE",14,0.016,0.002,1.03,0.03,N,0.0000,0.3541,,,,0.8069,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,H,"LAG",14,0.001,0.002,1.00,,Y,0.7232,,0.70,0.44,0.1418,0.3085,H,0.9897,,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,H,"SINGLE",14,0.003,0.001,0.99,0.02,Y,0.0524,0.5324,,,,0.2786,M,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,I,"LAG",14,0.175,0.056,1.00,,Y,0.0095,,3.03,1.57,0.0793,0.8647,H,0.9539,,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,I,"SINGLE",14,0.099,0.006,1.19,0.08,Y,0.0000,0.0366,,,,0.9534,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,O,"LAG",14,0.117,0.034,1.00,,Y,0.0052,,9.45,6.59,0.1794,0.8381,H,0.9712,,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,O,"SINGLE",14,0.037,0.007,1.19,0.08,Y,0.0002,0.0659,,,,0.6963,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,S,"LAG",14,0.093,0.022,1.00,,Y,0.0015,,2.76,0.95,0.0139,0.8963,H,0.9474,,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,S,"SINGLE",14,0.077,0.011,1.33,0.13,Y,0.0000,0.0441,,,,0.8172,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,X,"LAG",14,0.012,0.005,1.00,,Y,0.0284,,1.07,0.22,0.0006,0.8429,S,0.9715,,,,,,,,,
TD014,21,"TD014_HJA6",6,THPL,X,"SINGLE",14,0.011,0.001,1.01,0.02,N,0.0000,0.4612,,,,0.8424,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,H,"LAG",14,0.071,0.019,1.00,,Y,0.0030,,4.85,2.21,0.0510,0.8463,H,0.9692,,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,H,"SINGLE",14,0.024,0.004,1.11,0.05,Y,0.0000,0.0473,,,,0.7661,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,I,"LAG",14,0.097,0.053,1.00,,Y,0.0964,,2.16,1.54,0.1889,0.6511,H,0.9440,,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,I,"SINGLE",14,0.070,0.010,1.16,0.12,Y,0.0000,0.2249,,,,0.8096,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,O,"LAG",14,0.025,0.021,1.00,,Y,0.2524,,1.17,0.68,0.1151,0.4820,H,0.9575,,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,O,"SINGLE",14,0.025,0.006,1.04,0.07,Y,0.0017,0.6459,,,,0.5754,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,S,"LAG",14,0.060,0.012,1.00,,Y,0.0005,,2.30,0.57,0.0020,0.9119,H,0.9505,,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,S,"SINGLE",14,0.036,0.004,1.12,0.04,Y,0.0000,0.0284,,,,0.8878,H,,-0.7403,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,X,"LAG",14,0.053,0.012,1.00,,Y,0.0011,,2.30,0.62,0.0035,0.8918,H,0.9544,,,,,,,,,
TD014,21,"TD014_HJA6",6,TSHE,X,"SINGLE",14,0.031,0.003,1.11,0.04,N,0.0000,0.0274,,,,0.8608,H,,-0.7403,,,,,,,,
